waste_type,quantity_kg,composition_pct,contamination_pct,moisture_pct,generation_frequency_per_week,processing_cost_per_tonne,transport_distance_km,target_pathway
Wood,3242.7,41.85,30.71,34.25,3.5,168.46,175.1,Energy Recovery
Plastic,32877.1,21.69,69.14,54.69,1.0,383.2,28.9,Disposal
Metal,7713.1,85.35,5.37,4.67,3.5,93.65,22.2,Reuse
Glass,610.2,87.63,7.93,4.23,1.0,25.32,42.5,Reuse
Industrial Residue,385.9,41.12,87.92,56.39,0.25,184.49,39.4,Disposal
Plastic,14717.5,88.25,20.47,11.54,0.25,137.06,141.1,Recycling
Construction,286.5,73.89,30.03,4.26,5.0,180.26,309.9,Material Recovery
Metal,3501.4,53.98,14.89,4.76,0.25,290.29,168.5,Material Recovery
Metal,24205.4,83.83,10.73,7.43,1.0,92.77,91.8,Reuse
Construction,8972.1,80.86,8.04,1.09,3.5,19.06,79.4,Reuse
Paper,32785.5,94.67,14.87,14.84,5.0,103.18,56.3,Recycling
Metal,11187.0,65.8,13.49,9.67,3.5,117.98,183.1,Recycling
Plastic,2306.5,89.76,6.33,8.87,3.5,86.15,83.7,Reuse
Rubber,17160.9,67.07,13.3,9.34,1.0,114.67,11.9,Recycling
Wood,18211.4,75.14,4.55,13.81,7.0,45.62,135.8,Reuse
Textile,12628.5,86.43,14.04,25.41,3.5,123.74,38.9,Recycling
Wood,2378.9,59.77,31.53,10.78,0.25,180.59,65.3,Energy Recovery
Plastic,476.4,68.05,21.44,6.86,2.0,75.42,217.0,Recycling
Industrial Residue,289.3,67.3,23.11,21.2,1.0,189.2,230.2,Material Recovery
Glass,275.1,85.8,16.2,1.92,2.0,70.36,243.5,Recycling
Organic,4960.7,71.51,32.51,54.59,3.5,210.01,132.4,Energy Recovery
Plastic,2851.7,24.29,62.09,61.51,1.0,364.99,119.9,Disposal
E-waste,108.9,62.95,34.73,30.44,0.25,328.26,297.7,Material Recovery
Plastic,5504.0,44.02,31.05,13.82,1.0,70.77,103.2,Energy Recovery
Textile,695.3,94.35,15.44,6.41,0.5,80.65,128.3,Recycling
Construction,2763.5,19.84,94.37,58.57,1.0,321.2,420.0,Disposal
Organic,4311.0,42.05,42.8,36.21,1.0,133.89,100.3,Energy Recovery
E-waste,38892.2,81.19,39.45,14.79,1.0,249.46,74.3,Material Recovery
Paper,2502.8,89.85,10.76,17.03,2.0,86.4,173.8,Recycling
Plastic,37432.0,49.66,39.81,19.51,0.5,120.32,112.5,Energy Recovery
Plastic,614.9,39.94,22.22,19.83,2.0,125.29,223.6,Energy Recovery
Glass,1464.2,79.89,7.79,2.64,5.0,81.92,21.2,Reuse
Wood,34537.1,36.31,33.76,13.9,2.0,195.06,222.7,Energy Recovery
Plastic,68.6,43.69,75.51,69.89,1.0,358.29,150.1,Disposal
Metal,3584.1,75.5,4.23,8.01,5.0,88.18,20.4,Reuse
Glass,44753.3,75.65,16.94,0.44,3.5,93.95,190.6,Recycling
Construction,1147.6,29.08,86.48,69.27,0.25,176.67,295.9,Disposal
Plastic,771.4,80.84,7.27,9.91,1.0,38.86,63.3,Reuse
Metal,24822.5,80.11,25.37,0.44,0.5,228.2,304.2,Material Recovery
Organic,12517.7,67.71,21.93,48.92,1.0,196.76,125.1,Energy Recovery
Industrial Residue,12933.9,65.56,18.05,24.36,1.0,117.73,197.9,Material Recovery
Glass,3524.0,92.99,17.92,1.37,2.0,72.73,170.8,Recycling
Plastic,13984.5,75.77,4.19,5.55,7.0,108.23,128.8,Recycling
Metal,2674.7,75.45,11.09,8.62,2.0,70.31,78.1,Reuse
Rubber,4467.5,69.29,14.61,2.22,1.0,137.53,160.7,Recycling
Metal,2863.0,73.66,30.55,7.56,3.5,126.7,298.1,Material Recovery
E-waste,10640.4,81.74,40.55,5.74,0.25,218.13,73.6,Material Recovery
Industrial Residue,209.6,18.09,73.66,36.37,2.0,460.46,71.9,Disposal
E-waste,4185.9,52.32,13.92,34.64,5.0,170.06,231.9,Material Recovery
Metal,264.5,76.9,10.51,6.2,5.0,22.17,85.7,Reuse
Paper,2644.8,84.38,22.16,4.33,2.0,137.62,234.8,Recycling
Rubber,101.2,40.73,32.82,24.49,7.0,226.24,27.5,Energy Recovery
Industrial Residue,121.0,17.53,88.23,28.9,5.0,301.41,149.6,Disposal
Rubber,35601.4,72.54,42.29,32.57,2.0,180.37,42.4,Energy Recovery
Industrial Residue,1192.0,37.07,66.08,49.56,5.0,414.27,175.6,Disposal
Glass,259.3,75.62,0.67,7.9,1.0,24.81,14.2,Reuse
Plastic,418.8,40.22,24.37,6.65,3.5,137.55,56.1,Energy Recovery
Paper,295.1,72.96,8.99,3.76,0.5,40.17,102.6,Recycling
Metal,36645.0,73.87,5.09,8.98,2.0,55.22,129.9,Recycling
Plastic,858.7,53.23,39.61,7.5,0.25,170.17,110.8,Material Recovery
Textile,1642.0,86.14,9.48,23.41,2.0,56.72,17.3,Recycling
Metal,60.1,79.82,2.1,7.9,2.0,41.36,145.6,Reuse
E-waste,328.4,59.58,31.11,23.15,2.0,153.19,20.9,Material Recovery
Textile,62.6,54.66,23.09,11.38,3.5,62.55,82.9,Energy Recovery
Metal,70.9,90.43,2.06,4.62,1.0,27.99,62.2,Reuse
Rubber,4466.7,71.07,17.77,5.43,0.5,165.92,75.8,Recycling
Construction,60.2,75.72,3.01,9.59,0.5,65.24,100.4,Reuse
Organic,2256.0,68.26,37.45,49.9,3.5,79.37,134.3,Energy Recovery
E-waste,162.5,71.32,31.91,5.35,1.0,291.51,203.5,Material Recovery
Glass,2909.4,77.59,12.29,1.48,3.5,166.85,232.0,Recycling
Plastic,1350.3,84.66,18.07,2.03,0.5,70.54,173.2,Recycling
Industrial Residue,5894.0,40.11,58.64,34.07,2.0,374.24,323.8,Disposal
Rubber,7869.6,67.23,7.4,11.76,2.0,161.25,32.3,Recycling
E-waste,1063.2,87.51,30.49,34.69,0.5,120.32,264.5,Material Recovery
Industrial Residue,1002.7,56.31,40.73,30.38,2.0,166.55,151.0,Energy Recovery
Rubber,41758.0,46.27,51.36,22.73,0.5,96.38,146.1,Energy Recovery
Construction,1702.1,19.06,77.24,60.11,0.25,396.54,262.1,Disposal
Organic,821.5,48.0,34.93,41.91,0.25,185.01,112.7,Energy Recovery
Plastic,11999.6,65.29,19.57,8.56,2.0,70.08,42.1,Energy Recovery
Metal,328.0,86.02,18.71,3.18,0.25,67.37,197.2,Recycling
Construction,1231.9,22.04,47.06,45.5,1.0,379.6,86.7,Disposal
Wood,4072.4,94.17,7.48,6.99,2.0,67.61,131.2,Reuse
Industrial Residue,887.1,12.98,75.89,31.05,14.0,257.17,110.1,Disposal
Glass,6519.4,70.92,15.84,3.89,1.0,141.56,204.1,Recycling
Industrial Residue,1301.6,11.1,80.83,82.83,5.0,347.27,106.6,Disposal
Industrial Residue,180.7,42.94,67.98,73.86,0.25,218.47,346.4,Disposal
Textile,28767.7,70.25,21.64,6.57,14.0,93.59,128.9,Recycling
Paper,76.8,86.11,5.56,16.67,2.0,108.24,147.4,Recycling
Metal,3174.2,77.22,15.85,3.87,5.0,225.95,132.3,Material Recovery
Construction,337.2,48.87,36.66,25.38,2.0,237.95,297.4,Material Recovery
Textile,763.5,69.63,26.7,28.17,1.0,125.07,113.0,Energy Recovery
Rubber,108.3,46.24,49.74,5.47,0.5,160.6,50.8,Energy Recovery
Glass,539.0,68.03,9.72,5.36,1.0,91.71,126.5,Recycling
Construction,48486.7,10.21,88.67,61.0,1.0,376.7,199.9,Disposal
Industrial Residue,23065.7,36.47,57.51,67.34,1.0,418.21,280.9,Disposal
Rubber,33537.8,49.06,21.36,32.91,7.0,119.13,53.4,Energy Recovery
Wood,136.8,71.82,32.97,21.48,2.0,114.44,11.2,Energy Recovery
Organic,359.8,14.8,54.0,49.19,1.0,363.39,136.9,Disposal
Textile,30186.8,25.51,77.83,72.15,0.5,182.83,36.5,Disposal
Industrial Residue,55.9,61.8,22.97,7.37,3.5,142.74,127.9,Energy Recovery
Metal,2465.5,78.66,1.95,6.69,1.0,69.45,139.2,Reuse
Rubber,909.4,69.75,24.62,28.5,1.0,190.67,130.5,Energy Recovery
Industrial Residue,60.0,35.73,79.52,78.24,3.5,377.8,189.5,Disposal
Metal,1409.5,56.15,27.7,2.59,3.5,142.51,228.1,Material Recovery
Rubber,53.4,93.86,22.52,24.8,2.0,54.49,245.9,Recycling
Paper,25457.9,67.34,11.46,15.05,0.5,148.59,245.5,Recycling
Plastic,20401.4,48.05,21.63,29.35,1.0,97.51,137.2,Energy Recovery
Construction,5133.3,77.19,4.5,6.67,5.0,38.03,126.4,Reuse
Construction,185.0,59.33,38.3,16.67,3.5,291.57,191.3,Material Recovery
Construction,431.5,14.73,85.65,28.63,1.0,467.12,344.4,Disposal
Textile,45822.3,42.2,65.3,43.49,5.0,160.51,50.0,Disposal
Construction,8487.5,80.3,32.54,12.82,5.0,204.97,275.3,Material Recovery
Glass,634.9,80.38,1.74,8.45,3.5,58.8,146.3,Reuse
Industrial Residue,48272.0,17.52,90.53,43.93,3.5,208.4,386.8,Disposal
Plastic,3100.5,85.91,8.12,11.91,0.25,76.88,47.6,Reuse
Wood,1762.6,63.0,51.47,23.96,7.0,143.42,127.7,Energy Recovery
Construction,5215.6,16.38,85.02,67.89,3.5,326.29,126.5,Disposal
Construction,6074.8,23.57,61.41,47.43,3.5,318.33,135.4,Disposal
Textile,865.3,93.36,17.36,21.87,5.0,71.24,179.7,Recycling
Organic,1062.5,40.88,38.91,60.39,3.5,184.38,253.0,Energy Recovery
Glass,7113.3,84.14,5.05,4.13,0.5,144.05,11.2,Recycling
Metal,3981.1,88.87,12.18,4.99,1.0,128.92,181.7,Recycling
Wood,16639.5,54.88,49.35,30.98,2.0,108.85,22.8,Energy Recovery
Paper,24609.0,72.13,18.91,25.94,0.25,150.35,82.7,Recycling
Metal,155.4,68.58,18.16,7.01,7.0,110.61,197.9,Recycling
Textile,85.4,86.67,3.11,3.34,5.0,18.6,139.9,Reuse
Construction,23488.9,91.21,3.2,3.04,1.0,60.53,113.4,Reuse
Plastic,66.6,61.65,23.68,12.85,1.0,81.5,80.3,Energy Recovery
Construction,4735.5,71.55,35.16,17.97,7.0,140.97,167.1,Material Recovery
Metal,137.0,94.11,3.87,3.75,2.0,58.1,143.7,Reuse
Metal,28068.4,93.15,5.91,6.52,0.5,59.75,116.1,Reuse
Organic,118.6,19.18,47.43,72.1,1.0,395.79,214.9,Disposal
Plastic,37029.8,36.64,51.96,26.03,1.0,216.07,241.8,Energy Recovery
Wood,105.7,54.38,28.32,30.34,1.0,144.54,179.7,Energy Recovery
Metal,7615.6,81.14,10.1,5.49,2.0,19.45,55.4,Reuse
Industrial Residue,224.8,41.65,80.6,68.34,2.0,477.56,257.7,Disposal
Paper,3117.1,89.47,18.63,10.29,3.5,83.29,82.4,Recycling
Plastic,7500.2,75.38,9.51,26.37,0.5,149.28,110.6,Recycling
Industrial Residue,1834.1,49.34,25.83,27.9,14.0,218.75,222.8,Material Recovery
Rubber,228.2,38.91,21.84,19.72,1.0,92.82,16.4,Energy Recovery
E-waste,1394.9,57.21,36.34,26.33,2.0,158.46,64.2,Material Recovery
Wood,39765.0,77.76,11.57,3.39,5.0,71.56,176.5,Reuse
Industrial Residue,42410.0,85.06,23.63,33.66,1.0,236.99,19.0,Material Recovery
Wood,31079.8,98.87,4.81,1.48,5.0,65.25,143.5,Reuse
E-waste,1450.7,50.69,14.95,26.49,1.0,139.49,214.9,Material Recovery
E-waste,80.7,81.25,39.43,21.19,0.5,178.0,95.3,Material Recovery
Organic,9989.1,73.44,20.98,47.87,2.0,90.03,20.6,Energy Recovery
Textile,6825.8,31.28,51.69,42.6,7.0,426.59,309.4,Disposal
Metal,257.5,78.17,23.88,7.76,5.0,119.37,94.2,Recycling
Textile,66.0,87.01,6.18,2.37,1.0,37.4,48.8,Reuse
Construction,3573.1,10.84,59.8,40.71,5.0,278.28,314.2,Disposal
E-waste,78.0,53.81,39.78,17.5,1.0,128.41,26.5,Material Recovery
Glass,10815.6,87.63,9.08,4.76,2.0,19.27,93.2,Reuse
Metal,22008.6,80.12,3.55,9.33,5.0,41.41,32.6,Reuse
Construction,2658.8,86.27,38.28,29.21,3.5,332.19,186.8,Material Recovery
Rubber,538.9,57.5,19.28,15.46,1.0,151.78,53.9,Energy Recovery
Industrial Residue,214.4,8.61,86.96,39.13,5.0,453.09,291.5,Disposal
Plastic,555.8,51.58,32.15,17.13,1.0,246.59,22.4,Material Recovery
Construction,123.0,7.75,93.71,76.94,1.0,298.3,325.2,Disposal
Metal,292.8,82.23,2.93,1.37,1.0,10.66,135.7,Reuse
Wood,6174.3,60.84,30.07,24.58,5.0,135.69,92.1,Energy Recovery
Wood,406.0,90.24,6.83,3.13,2.0,52.72,34.5,Reuse
Textile,9679.5,24.01,81.72,61.34,2.0,307.5,213.5,Disposal
Textile,698.6,37.78,85.47,26.19,5.0,402.83,416.3,Disposal
Textile,183.6,73.08,12.34,18.78,1.0,151.24,187.8,Recycling
Rubber,20764.9,38.78,45.85,22.94,5.0,176.44,91.3,Energy Recovery
Paper,179.0,18.26,82.74,37.32,14.0,276.1,51.7,Disposal
Textile,912.4,40.35,56.45,41.68,1.0,161.65,103.7,Disposal
Textile,10090.1,38.1,63.26,35.63,3.5,162.7,219.0,Disposal
Plastic,1414.2,74.38,41.03,26.81,1.0,160.33,163.7,Material Recovery
Metal,1107.4,57.4,25.77,8.01,5.0,212.83,51.2,Material Recovery
Textile,165.4,76.85,4.59,19.76,1.0,65.27,77.2,Recycling
Plastic,1852.3,89.55,9.59,4.84,2.0,47.63,155.5,Reuse
Construction,186.9,31.94,51.04,67.81,5.0,410.28,143.8,Disposal
Wood,54.2,48.35,38.74,26.04,1.0,107.88,223.4,Energy Recovery
Organic,61.1,65.54,30.66,54.88,5.0,97.8,241.3,Energy Recovery
E-waste,177.5,58.35,36.25,27.65,3.5,187.2,42.2,Material Recovery
Organic,496.8,32.12,94.59,74.54,2.0,442.87,156.7,Disposal
Wood,396.2,58.16,52.46,8.07,1.0,124.42,28.3,Energy Recovery
Plastic,207.1,74.84,14.41,5.02,2.0,52.28,132.5,Recycling
Construction,62.6,75.62,20.85,27.36,5.0,133.57,279.8,Material Recovery
Organic,4586.6,71.99,19.36,38.96,2.0,216.06,22.4,Energy Recovery
Textile,1148.5,66.74,5.72,13.3,2.0,81.75,188.0,Recycling
Organic,145.8,48.61,51.7,37.87,1.0,92.03,252.2,Energy Recovery
Industrial Residue,41198.6,40.64,74.87,60.01,2.0,342.65,199.1,Disposal
Metal,8430.4,97.21,6.69,7.19,3.5,40.96,17.2,Reuse
Plastic,38193.2,69.73,22.97,22.59,2.0,63.52,242.5,Recycling
Rubber,4449.9,67.7,47.48,15.75,3.5,150.57,118.2,Energy Recovery
Metal,1336.1,93.25,9.31,1.28,2.0,32.53,157.7,Reuse
Paper,10258.9,85.49,19.25,26.82,0.25,49.12,72.9,Recycling
Plastic,9071.4,11.52,84.75,42.1,3.5,198.59,231.1,Disposal
Plastic,50.2,70.49,51.42,25.99,0.5,85.37,153.4,Energy Recovery
Industrial Residue,245.9,13.78,45.19,38.38,2.0,236.49,335.9,Disposal
Plastic,17241.0,85.68,1.51,12.59,1.0,39.53,16.4,Reuse
Wood,747.2,45.68,21.64,26.59,3.5,187.35,208.3,Energy Recovery
Industrial Residue,15558.2,58.8,30.17,8.25,0.5,275.32,50.9,Material Recovery
Metal,214.6,72.52,22.98,4.99,3.5,195.63,275.6,Material Recovery
Industrial Residue,157.6,81.92,36.2,23.04,2.0,212.63,69.6,Material Recovery
Industrial Residue,135.6,9.59,50.07,35.09,1.0,188.68,151.9,Disposal
Organic,30315.7,40.81,50.2,35.33,1.0,175.34,269.7,Energy Recovery
Organic,35554.5,36.5,24.66,49.0,2.0,193.04,103.9,Energy Recovery
Organic,9007.8,50.58,40.02,59.21,3.5,113.46,18.5,Energy Recovery
E-waste,2047.0,50.73,27.15,16.89,0.5,160.88,80.1,Material Recovery
Glass,33676.5,83.41,13.65,0.31,0.5,160.12,47.7,Recycling
Glass,7477.5,92.67,20.94,0.92,0.5,76.24,171.7,Recycling
Construction,931.6,40.42,69.3,58.78,3.5,419.52,284.0,Disposal
Organic,72.0,40.88,64.92,52.57,0.25,407.17,349.9,Disposal
Rubber,386.7,64.27,53.15,9.38,2.0,75.42,139.5,Energy Recovery
Metal,6685.0,81.5,23.06,4.62,1.0,79.33,176.3,Recycling
Metal,301.6,80.19,25.26,3.66,1.0,110.02,263.7,Material Recovery
Construction,2493.6,6.55,92.0,48.09,0.5,299.62,129.8,Disposal
Metal,597.1,91.46,6.76,9.78,1.0,26.13,26.4,Reuse
Organic,3695.6,39.7,22.87,40.68,1.0,137.97,241.0,Energy Recovery
Wood,1161.5,98.65,3.55,14.33,1.0,91.37,179.2,Reuse
Wood,8676.3,78.4,7.78,1.52,1.0,45.69,64.7,Reuse
Industrial Residue,11136.7,27.8,56.63,56.38,0.5,376.95,446.5,Disposal
Industrial Residue,149.9,5.73,89.93,46.42,5.0,446.23,33.7,Disposal
Industrial Residue,2894.3,51.95,51.17,9.61,0.5,95.32,138.1,Energy Recovery
Metal,82.0,82.66,29.51,9.44,5.0,225.11,279.6,Material Recovery
Rubber,14583.9,56.24,35.73,31.33,2.0,100.89,160.8,Energy Recovery
Construction,60.5,11.77,76.34,44.52,0.25,284.78,157.6,Disposal
E-waste,78.8,86.25,28.14,4.23,3.5,287.92,278.8,Material Recovery
Textile,17477.7,83.08,1.57,2.64,2.0,78.61,132.7,Reuse
Plastic,13621.6,76.05,9.06,12.99,1.0,66.41,148.6,Reuse
Textile,20161.3,39.68,51.31,30.61,0.5,213.85,238.8,Disposal
Glass,1304.0,66.32,21.26,2.45,1.0,60.26,233.5,Recycling
Construction,38942.5,14.35,90.19,41.15,3.5,238.82,258.5,Disposal
Glass,22124.8,81.89,7.76,9.88,2.0,81.72,127.7,Recycling
Construction,6595.6,78.32,3.16,12.8,0.25,44.65,100.0,Reuse
Rubber,1504.9,57.51,37.23,25.85,0.5,163.6,201.3,Energy Recovery
Paper,297.6,94.92,16.54,23.69,5.0,163.41,26.1,Recycling
Construction,16669.3,74.87,27.22,30.21,5.0,151.66,44.8,Material Recovery
Industrial Residue,9789.6,26.39,64.93,29.66,3.5,209.12,174.0,Disposal
Metal,2929.9,92.87,19.74,2.23,0.5,81.42,175.2,Recycling
Plastic,5254.1,65.1,4.45,9.76,2.0,111.81,207.6,Recycling
Construction,1028.2,30.18,71.76,42.44,5.0,312.84,83.9,Disposal
Metal,129.2,68.07,10.27,8.81,3.5,141.68,42.0,Recycling
Textile,585.1,74.83,5.82,8.45,2.0,131.42,72.4,Recycling
Industrial Residue,332.7,42.55,67.06,84.71,3.5,309.31,175.4,Disposal
Plastic,115.4,65.57,39.94,16.07,0.5,130.58,198.0,Energy Recovery
Plastic,144.8,66.49,15.44,23.84,1.0,97.73,80.7,Recycling
Textile,4698.0,91.32,23.02,2.04,5.0,138.17,34.9,Recycling
Metal,2351.8,74.13,15.08,4.12,0.25,130.91,199.3,Material Recovery
Organic,2358.6,44.79,38.25,52.35,5.0,68.32,50.0,Energy Recovery
Glass,49077.0,72.15,13.84,0.6,3.5,52.56,231.1,Recycling
Wood,674.5,71.6,32.19,15.38,2.0,65.59,160.3,Energy Recovery
Metal,49680.3,84.25,28.55,5.43,2.0,288.3,126.6,Material Recovery
Industrial Residue,4774.7,79.78,36.61,9.64,1.0,276.56,119.5,Material Recovery
Plastic,922.7,19.99,57.17,30.48,14.0,267.88,102.6,Disposal
Textile,23660.8,48.96,45.46,5.89,1.0,76.55,103.2,Energy Recovery
Metal,57.5,70.41,39.96,2.58,0.5,309.49,308.8,Material Recovery
Organic,2928.1,35.23,50.66,41.66,2.0,129.73,31.4,Energy Recovery
Metal,1331.9,77.56,14.71,8.67,5.0,104.3,28.9,Recycling
Industrial Residue,6169.2,6.38,79.43,37.97,5.0,419.68,295.6,Disposal
Industrial Residue,236.3,40.06,93.18,78.06,7.0,455.4,298.3,Disposal
Industrial Residue,3936.7,83.59,23.43,12.88,0.5,148.54,261.4,Material Recovery
Glass,16730.2,70.12,16.58,6.2,0.5,131.9,17.6,Recycling
Plastic,880.7,95.74,3.68,14.43,7.0,53.16,148.6,Reuse
Wood,12190.9,94.6,5.79,6.19,1.0,12.01,38.8,Reuse
Construction,17413.3,43.79,87.36,70.79,3.5,413.65,157.3,Disposal
Metal,4685.9,59.21,16.55,8.97,0.5,197.91,308.0,Material Recovery
Wood,29382.3,53.68,52.64,26.08,1.0,132.59,253.9,Energy Recovery
Metal,46619.8,92.5,2.38,3.79,2.0,57.34,124.8,Reuse
Industrial Residue,117.0,48.55,40.01,37.69,5.0,183.28,85.2,Energy Recovery
Glass,85.3,87.57,18.25,3.98,0.5,72.46,210.3,Recycling
Wood,3687.8,78.96,5.87,3.17,0.25,43.49,103.8,Reuse
Plastic,27774.3,82.55,8.04,7.73,2.0,32.51,48.2,Reuse
Textile,2954.9,86.89,0.93,9.54,5.0,84.31,82.1,Reuse
Organic,42988.2,73.83,40.83,44.88,1.0,64.78,22.2,Energy Recovery
Organic,797.7,72.4,31.28,54.09,2.0,223.0,34.5,Energy Recovery
Industrial Residue,47679.0,59.34,14.57,17.93,5.0,149.23,268.3,Material Recovery
E-waste,1837.0,87.22,21.72,25.82,5.0,302.02,95.3,Material Recovery
Metal,74.7,78.6,14.26,4.57,2.0,148.93,183.6,Recycling
Metal,136.6,53.41,41.87,9.76,7.0,320.94,111.8,Material Recovery
Wood,205.5,89.01,6.51,16.89,3.5,30.29,74.3,Reuse
Paper,5730.1,72.95,6.4,6.1,5.0,134.08,19.7,Recycling
Textile,4521.3,83.4,7.98,14.28,3.5,90.72,39.9,Reuse
Paper,41944.6,75.04,20.31,24.35,0.5,83.29,237.3,Recycling
Metal,209.6,88.55,1.29,7.65,1.0,83.92,62.5,Reuse
Metal,13347.0,70.19,23.69,9.72,0.5,97.16,247.2,Recycling
Glass,4394.4,97.41,5.39,5.45,5.0,80.26,17.5,Reuse
Metal,90.0,86.18,9.95,6.14,0.5,55.91,83.3,Recycling
Construction,33357.3,85.57,2.62,1.87,2.0,79.88,75.1,Reuse
Metal,9757.8,95.3,10.29,2.85,1.0,86.95,30.8,Reuse
Organic,2318.8,54.47,39.91,47.96,5.0,89.95,268.1,Energy Recovery
Construction,1025.8,6.8,88.96,26.4,1.0,435.09,156.5,Disposal
Wood,282.0,89.1,7.85,8.21,5.0,26.93,72.3,Reuse
Organic,189.5,47.49,51.01,43.98,1.0,114.26,129.1,Energy Recovery
Organic,3532.5,44.08,57.47,37.63,0.5,331.35,359.5,Disposal
Wood,271.9,40.66,44.06,14.35,0.25,164.25,101.5,Energy Recovery
Plastic,111.2,68.16,32.83,13.99,1.0,220.49,189.0,Material Recovery
E-waste,23116.5,77.11,29.89,14.47,14.0,188.83,289.9,Material Recovery
Construction,115.6,17.97,64.15,74.66,1.0,400.68,272.0,Disposal
Industrial Residue,422.7,40.41,84.55,33.84,1.0,278.03,23.5,Disposal
Plastic,334.4,81.55,4.24,15.76,14.0,42.31,205.2,Recycling
